year,group,cohort,occ_code,num,occ_income,occ_grade,occ_wage
2010,0,1,0,7610210,2910.338,12.6503,
2010,0,1,1,1965792,54377.37,15.04672,
2010,0,1,2,1321484,52850.88,15.47367,
2010,0,1,3,31583,51208.68,16.7319,
2010,0,1,4,309880.5,66894.28,16.29642,
2010,0,1,5,480136.5,52809.93,15.07904,
2010,0,1,6,142063.5,49464.91,17.47013,
2010,0,1,7,168380,83094.95,18.86679,
2010,0,1,8,567593.5,53907.39,15.72227,
2010,0,1,9,219388.5,48601.98,17.17182,
2010,0,1,10,203566,31848.79,17.83781,
2010,0,1,11,1549003,31029.15,16.55396,
2010,0,1,12,24182,33841.71,17.66279,
2010,0,1,13,114646.5,50250.68,16.93814,
2010,0,1,14,309419,33647.93,16.03995,
2010,0,1,15,192985.5,90452.96,18.84072,
2010,0,1,16,484995,40358.32,15.31012,
2010,0,1,17,400491.5,37543.58,13.9478,
2010,0,1,18,149369,40466.52,14.18146,
2010,0,1,19,30147,41045.32,14.52373,
2010,0,1,20,414843.5,58452.14,15.37107,
2010,0,1,21,2457983,38694.67,13.75971,
2010,0,1,22,497017,28214.66,13.85751,
2010,0,1,23,305995.5,24203.61,13.39276,
2010,0,1,24,117367.5,28402.47,13.92608,
2010,0,1,25,278462.5,30159.35,13.52083,
2010,0,1,26,9959,26205.28,13.15644,
2010,0,1,27,33618,29616.74,13.69507,
2010,0,1,28,81496.5,35019.34,12.89223,
2010,0,1,29,528592.5,27324.89,12.90374,
2010,0,1,30,741039.5,30046.45,13.76468,
2010,0,1,31,467090.5,28321.82,13.83053,
2010,0,1,32,152363,14750.62,11.27522,
2010,0,1,33,88153.5,54408.81,13.70589,
2010,0,1,34,346462,48842.84,14.06519,
2010,0,1,35,213610,28909.53,13.18354,
2010,0,1,36,1336224,18661.49,12.51921,
2010,0,1,37,797772.5,21792.8,12.8871,
2010,0,1,38,295846.5,22398.45,11.9095,
2010,0,1,39,626772.5,23241.07,13.43578,
2010,0,1,40,68777.5,44522.89,12.96889,
2010,0,1,41,153973.5,17803.72,10.35629,
2010,0,1,42,308027.5,19942.83,11.62487,
2010,0,1,43,25199,28497.26,12.18681,
2010,0,1,44,432395.5,37130.51,12.48771,
2010,0,1,45,228726.5,37233.47,12.92519,
2010,0,1,46,150265,35785.94,12.5699,
2010,0,1,47,1317319,29424.47,11.80858,
2010,0,1,48,57913,45869.75,12.12435,
2010,0,1,49,113481,43212.06,13.02182,
2010,0,1,50,58009.5,36123.22,12.50303,
2010,0,1,51,11273.5,24909.33,12.13115,
2010,0,1,52,9553.5,22726.59,12.1097,
2010,0,1,53,168809,29363.38,13.4186,
2010,0,1,54,92334,22888.38,11.79629,
2010,0,1,55,37131.5,51544.63,13.27637,
2010,0,1,56,30204,28032.28,11.93903,
