Year,Group,Cohort,Occupation Number,Weighted Total People in Occ,Avg Occ Income,Education,Wage
2010,10,1,0,7610209.5,,12.7,
2010,10,1,1,1965792.0,54377.4,15.0,
2010,10,1,2,1321484.0,52850.9,15.5,
2010,10,1,3,31583.0,51208.7,16.7,
2010,10,1,4,309880.5,66894.3,16.3,
2010,10,1,5,480136.5,52809.9,15.1,
2010,10,1,6,142063.5,49464.9,17.5,
2010,10,1,7,168380.0,83095.0,18.9,
2010,10,1,8,567593.5,53907.4,15.7,
2010,10,1,9,219388.5,48602.0,17.2,
2010,10,1,10,203566.0,31848.8,17.8,
2010,10,1,11,1549002.5,31029.2,16.6,
2010,10,1,12,24182.0,33841.7,17.7,
2010,10,1,13,114646.5,50250.7,16.9,
2010,10,1,14,309419.0,33647.9,16.0,
2010,10,1,15,192985.5,90453.0,18.8,
2010,10,1,16,484995.0,40358.3,15.3,
2010,10,1,17,400491.5,37543.6,13.9,
2010,10,1,18,149369.0,40466.5,14.2,
2010,10,1,19,30147.0,41045.3,14.5,
2010,10,1,20,414843.5,58452.1,15.4,
2010,10,1,21,2457982.5,38694.7,13.8,
2010,10,1,22,497017.0,28214.7,13.9,
2010,10,1,23,305995.5,24203.6,13.4,
2010,10,1,24,117367.5,28402.5,13.9,
2010,10,1,25,278462.5,30159.4,13.5,
2010,10,1,26,9959.0,26205.3,13.2,
2010,10,1,27,33618.0,29616.7,13.7,
2010,10,1,28,81496.5,35019.3,12.9,
2010,10,1,29,528592.5,27324.9,12.9,
2010,10,1,30,741039.5,30046.5,13.8,
2010,10,1,31,467090.5,28321.8,13.8,
2010,10,1,32,152363.0,14750.6,11.3,
2010,10,1,33,88153.5,54408.8,13.7,
2010,10,1,34,346462.0,48842.8,14.1,
2010,10,1,35,213610.0,28909.5,13.2,
2010,10,1,36,1336223.5,18661.5,12.5,
2010,10,1,37,797772.5,21792.8,12.9,
2010,10,1,38,295846.5,22398.5,11.9,
2010,10,1,39,626772.5,23241.1,13.4,
2010,10,1,40,68777.5,44522.9,13.0,
2010,10,1,41,153973.5,17803.7,10.4,
2010,10,1,42,308027.5,19942.8,11.6,
2010,10,1,43,25199.0,28497.3,12.2,
2010,10,1,44,432395.5,37130.5,12.5,
2010,10,1,45,228726.5,37233.5,12.9,
2010,10,1,46,150265.0,35785.9,12.6,
2010,10,1,47,1317319.0,29424.5,11.8,
2010,10,1,48,57913.0,45869.8,12.1,
2010,10,1,49,113481.0,43212.1,13.0,
2010,10,1,50,58009.5,36123.2,12.5,
2010,10,1,51,11273.5,24909.3,12.1,
2010,10,1,52,9553.5,22726.6,12.1,
2010,10,1,53,168809.0,29363.4,13.4,
2010,10,1,54,92334.0,22888.4,11.8,
2010,10,1,55,37131.5,51544.6,13.3,
2010,10,1,56,30204.0,28032.3,11.9,
2010,10,1,57,9889.5,27657.7,12.3,
2010,10,1,58,71806.5,28598.6,11.9,
2010,10,1,59,34642.5,28342.3,12.5,
2010,10,1,60,58047.0,18911.0,11.3,
2010,10,1,61,353578.0,27912.8,12.0,
2010,10,1,62,299922.5,28383.5,12.1,
2010,10,1,63,117165.5,32880.4,13.0,
2010,10,1,64,654628.0,30095.3,12.3,
2010,10,1,65,120774.5,39603.1,12.3,
2010,10,1,66,511750.5,22341.4,11.9,
2010,1,1,0,2021194.0,,12.5,
2010,1,1,1,993793.0,61654.1,14.9,25.7
2010,1,1,2,534430.0,62351.6,15.7,26.8
2010,1,1,3,19497.0,54131.6,16.7,24.2
2010,1,1,4,248188.0,67569.0,16.2,30.1
2010,1,1,5,322604.5,55003.3,15.0,25.0
2010,1,1,6,71858.5,51075.7,17.4,22.9
2010,1,1,7,77847.0,93863.9,18.9,37.3
2010,1,1,8,59429.5,67660.3,16.3,32.5
